申報種類,交易標的種類,土地數量,建物數量,車位數量,幾房,幾廳,幾衛,有無隔間,建物型態,房地總價,土地總價,建物總價,車位總價,有無管理組織,交易日期,備註欄,行政區代碼,代表段號,土地移轉面積,代表地號都市土地使用分區,代表地號非都市土地使用分區,代表地號非都市土地使用地,建物移轉面積,代表建號主要用途,代表建號主要建材,代表建號總層數,代表建號建築完成日期,代表建號屋齡,代表建號層次,車位總價格,車位總持分面積,代表地號或門牌,行政區,地段,代表地號,代表建號,特殊交易態樣說明
買賣,建物,0,1,,,,,無,住宅大樓(11層含以上有電梯),"950,000",,,,有,1111116,,鹽埕區,鹽壽段,,-,無使用分區資料,無土地編定使用地類別資料,36.64,無建物主要用途資料,鋼筋混凝土造,16,750217,37,七層;,,,北斗街5號7樓之23,鹽埕區,鹽壽段,,522000,0602.地上權房屋1101.交易標的含多棟(戶)建物，有個別交易價格，本申報書申報之主建號
買賣,建物,0,1,,,,,無,住宅大樓(11層含以上有電梯),"950,000",,,,有,1111116,,鹽埕區,鹽壽段,,-,無使用分區資料,無土地編定使用地類別資料,36.64,無建物主要用途資料,鋼筋混凝土造,16,750217,37,七層;,,,北斗街5號7樓之24,鹽埕區,鹽壽段,,523000,0602.地上權房屋1101.交易標的含多棟(戶)建物，有個別交易價格，本申報書申報之主建號
買賣,建物,0,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"910,000",,,,有,1111026,馬桶及壁癌於點交前賣方負責修繕,鹽埕區,鹽壽段,,-,無使用分區資料,無土地編定使用地類別資料,36.64,無建物主要用途資料,鋼筋混凝土造,16,750217,37,八層;,,,北斗街5號8樓之23,鹽埕區,鹽壽段,,681000,
買賣,建物,0,1,,1,0,1,有,住宅大樓(11層含以上有電梯),"900,000",,,,有,1111117,,鹽埕區,鹽壽段,,-,無使用分區資料,無土地編定使用地類別資料,36.64,無建物主要用途資料,鋼筋混凝土造,16,750217,37,八層;,,,北斗街5號8樓之24,鹽埕區,鹽壽段,,682000,0102.傢俱設備費
買賣,房地(土地+建物),1,1,,1,1,1,有,公寓(5樓含以下無電梯),"890,000",,,,無,1111121,,鹽埕區,府北段五小段,2.96,其他-第四種商業區,無使用分區資料,無土地編定使用地類別資料,14.94,無建物主要用途資料,鋼筋混凝土造,5,701020,41,一層;,,,鹽埕街140巷8號,鹽埕區,府北段五小段,2420000,981000,
買賣,建物,0,1,,,,,無,住宅大樓(11層含以上有電梯),"870,000",,,,有,1111101,,鹽埕區,鹽壽段,,-,無使用分區資料,無土地編定使用地類別資料,37.37,無建物主要用途資料,鋼筋混凝土造,16,750217,37,十六層;,,,七賢三路269號16樓之16,鹽埕區,鹽壽段,,876000,
買賣,房地(土地+建物),1,1,,1,1,1,有,住宅大樓(11層含以上有電梯),"860,000",,,,有,1111123,,鹽埕區,府北段五小段,5.07,其他-第五種商業區,無使用分區資料,無土地編定使用地類別資料,47.97,無建物主要用途資料,鋼筋混凝土造,12,681218,43,九層;,,,府北路1號9樓之11,鹽埕區,府北段五小段,2110000,197000,
買賣,土地,2,0,,,,,有,,"838,717",,,,無,1111212,,鹽埕區,大勇段,38.97,其他-道路用地,無使用分區資料,無土地編定使用地類別資料,,無建物主要用途資料,無建物主要建材,,,,,,,大勇段 169-0 地號,鹽埕區,大勇段,1690000,,
買賣,建物,0,1,,,,,無,住宅大樓(11層含以上有電梯),"750,000",,,,有,1111026,,鹽埕區,鹽壽段,,-,無使用分區資料,無土地編定使用地類別資料,36.64,無建物主要用途資料,鋼筋混凝土造,16,750217,37,八層;,,,北斗街5號8樓之25,鹽埕區,鹽壽段,,683000,0602.地上權房屋1101.交易標的含多棟(戶)建物，有個別交易價格，本申報書申報之主建號
買賣,建物,0,1,,,,,無,住宅大樓(11層含以上有電梯),"750,000",,,,有,1111026,,鹽埕區,鹽壽段,,-,無使用分區資料,無土地編定使用地類別資料,36.64,無建物主要用途資料,鋼筋混凝土造,16,750217,37,八層;,,,北斗街5號8樓之26,鹽埕區,鹽壽段,,684000,0602.地上權房屋1101.交易標的含多棟(戶)建物，有個別交易價格，本申報書申報之主建號
